nodes;vals;max;min;mean;stddev;ci+;ci-
0;250;2,356;1,505;1,868;0,231;1,785;1,95
250;250;649,169;591,4;624,72;12,967;620,079;629,36
500;250;2965,523;2318,25;2657,6;242,795;2570,716;2744,483
750;250;6489,812;5270,097;5742,167;307,039;5632,294;5852,039
1000;250;12940,591;10674,725;12370,869;686,567;12125,184;12616,553
1250;250;20686,848;18569,841;19982,305;541,952;19788,369;20176,24
1500;250;29808,813;27935,442;28726,085;463,964;28560,057;28892,112
1750;250;41437,649;39362,215;40614,998;559,846;40414,659;40815,336
2000;250;57251,385;51940,165;54659,611;1311,771;54190,199;55129,022
