nodes;vals;max;min;mean;stddev;ci+;ci-
0;250;109,763;95,71;101,4;3,899;100,004;102,795
250;250;5359,45;5197,289;5254,555;42,263;5239,431;5269,678
500;250;14659,065;13660,19;14061,755;265,367;13966,794;14156,715
750;250;26319,946;25577,007;25836,16;192,695;25767,204;25905,115
1000;250;41708,391;41127,214;41421,077;131,243;41374,112;41468,041
1250;250;61736,775;60758,297;61075,489;236,472;60990,868;61160,109
1500;250;89379,526;84373,655;85730,129;1051,072;85354,007;86106,25
1750;250;118513,339;112045,499;113393,977;1587,23;112825,994;113961,959
2000;250;154273,211;149644,879;150578,157;890,269;150259,578;150896,735
